dNB_M5_M1,dNB_M4_M1,dNB_nonclimate_matched_M1,dNB_climate_M5_matched,dAUC_M5_M1
0.018907880804719418,0.01304103550359792,0.010134624111329565,0.008773256693389853,0.044055510226617245
0.017079806529625152,0.011314562100535525,0.00979227845914668,0.007287528070478472,0.041983309454128204
0.02085447634967061,0.015521461405289205,0.010904821602690323,0.009949654746980285,0.034696544709054145
0.01791312136139725,0.014671235810666122,0.009988512237387837,0.007924609124009413,0.04151817477461295
0.0192438610453243,0.014929093994803105,0.008562415502478632,0.010681445542845669,0.036209098067877754
0.0198272214022521,0.014687212938784333,0.010352266041883856,0.009474955360368242,0.0533555400487582
0.022571834864456103,0.014558833487574196,0.01585671399228042,0.006715120872175684,0.03959062128780244
0.021494370522006145,0.009403084121610283,0.013429763685649104,0.008064606836357041,0.03814928541941065
0.02025308372622689,0.014261236044741998,0.013952597354221496,0.006300486372005393,0.03345444513385909
0.017415777011589723,0.013033273792215333,0.010000830806297434,0.007414946205292289,0.02955551021468883
0.02264821577572851,0.01289539558522343,0.014130752809354052,0.008517462966374456,0.049444084761037344
0.019572900293343187,0.014607090295645886,0.010131854269495255,0.009441046023847932,0.03723838926988532
0.01680543885111907,0.008730098104477474,0.011010836234272209,0.005794602616846861,0.0466783964049402
0.016589861751152013,0.011537001897533178,0.010268365410680408,0.006321496340471605,0.03695666520618035
0.021275406390447837,0.013605974554479788,0.011146390000670775,0.010129016389777062,0.039768017598075356
0.012753356918085323,0.009039735746535577,0.008756327815022585,0.003997029103062738,0.04145876776946045
0.022256946531241856,0.01398321213213935,0.012741150309513782,0.009515796221728073,0.04137050408288867
0.015520630817521308,0.015488047267869343,0.008841003138881975,0.006679627678639333,0.024590798485913612
0.014747836748166848,0.010338811213543048,0.009619692075542918,0.00512814467262393,0.02582989998725338
0.02166045825506488,0.011875577063898884,0.012130281129612563,0.009530177125452316,0.04213769146690227
0.015824488344929194,0.008866995073891631,0.008420090396627916,0.007404397948301278,0.036373283948573865
0.01739788199697434,0.011551761400475508,0.007769613140263726,0.009628268856710614,0.04767760651051722
0.020994845576834398,0.013640363743033124,0.011628881532078944,0.009365964044755454,0.03775782376644643
0.012653938604572396,0.00907483295742137,0.006469921746772966,0.006184016857799429,0.03267841740938138
0.02093587088852586,0.012184843345160928,0.011196320614340921,0.009739550274184938,0.044037006562779424
0.017634938590820992,0.011696024563671692,0.010423400129282528,0.007211538461538464,0.035021431344860354
0.01586302027108069,0.01190476190476189,0.009046019751309392,0.006817000519771299,0.03683221622088784
0.010704288892762315,0.005618726353672193,0.007833406814243687,0.0028708820785186273,0.03557913269481083
0.01720427934981361,0.010910523604109629,0.010223564710517524,0.006980714639296087,0.032502026973989406
0.02013691838693682,0.017331040811805754,0.011202413476651074,0.008934504910285745,0.04110659192414312
0.016485611863538807,0.008749468821164341,0.008771260773396378,0.0077143510901424295,0.040056208821276695
0.019258013614217778,0.010112760737609583,0.012750371453910975,0.0065076421603068035,0.03398210993917328
0.020043842514216287,0.011351304423318997,0.013120197942440431,0.0069236445717758555,0.03853518475245854
0.015829046299960403,0.011384737146509977,0.009497427779976253,0.00633161851998415,0.04894869701196425
0.020881693354841246,0.012186725419994493,0.01242278789786358,0.008458905456977667,0.05007527114801358
0.021090812760451133,0.01326581556237072,0.012705431648445675,0.008385381112005458,0.05184659737450892
0.01437588103069476,0.010070736446414263,0.008432495586909255,0.005943385443785504,0.040757449605346996
0.009176695558188314,0.010881087485190455,0.005009249443994085,0.004167446114194229,0.035343309490286745
0.019553011600725284,0.011513337557075148,0.01078146505581895,0.008771546544906333,0.05009090819574746
0.01627431685716446,0.010240384095504818,0.009732149615580082,0.006542167241584379,0.02837604880341682
0.01977104698306706,0.012473169568328168,0.013069401383257795,0.006701645599809264,0.031175591530114843
0.020555458055458026,0.013425763425763404,0.00862144612144608,0.011934011934011945,0.04000698784282186
0.020021278653641505,0.010929490279524084,0.010875756305681772,0.009145522347959734,0.04216125902480805
0.01861765964330067,0.01115598551495986,0.012450038091063736,0.006167621552236935,0.042674318385369614
0.014537168002514533,0.010933746435868086,0.010024471834938542,0.004512696167575991,0.02795296908810052
0.015632923952108996,0.012424756906930068,0.009536304103366922,0.006096619848742074,0.02911919307686328
0.021541950113378644,0.014605842336934738,0.013005202080832307,0.008536748032546337,0.03361780459537611
0.011057955325860486,0.0059480159700154855,0.00803156755246709,0.0030263877733933964,0.027658190031019103
0.01241688696627416,0.011661574026390203,0.005596182236412978,0.006820704729861182,0.03798183577066416
0.01889549588030978,0.010004159032406701,0.012151119004529948,0.006744376875779834,0.035288025811970325
0.0156599315540204,0.006516142020109944,0.011962153399518977,0.0036977781545014243,0.03663014043705526
0.016713994191131204,0.008626925942321617,0.008292214172344159,0.008421780018787045,0.04365470705765606
0.020235378256433956,0.012494609858962336,0.01387238249492534,0.006362995761508616,0.036163239539759306
0.02700554266984631,0.016410222904620325,0.016911132163819065,0.010094410506027246,0.04651622713169434
0.015157912079990954,0.010441659544232873,0.009319232630700947,0.005838679449290007,0.031037339423877985
0.016201659897580822,0.013895020307257644,0.008774059685678931,0.007427600211901891,0.04345474755754519
0.02084011380696918,0.012745540635597269,0.011559176474293748,0.009280937332675432,0.04133897924679786
0.017658484901995425,0.009480399081758822,0.011069662722938411,0.006588822179057013,0.0443994874043685
0.020080488771190896,0.011843943532748147,0.014210647037971591,0.005869841733219305,0.04719775002666782
0.018946109086954155,0.011354614171515537,0.011789656860079378,0.0071564522268747766,0.03690163573768723
0.014410059966707495,0.008724253424520184,0.010338741701931387,0.004071318264776108,0.036521169844977996
0.019840162627551033,0.012944435586734693,0.012007732780612262,0.007832429846938771,0.04873390056470961
0.017244281716221666,0.013824884792626724,0.0097636933695264,0.007480588346695266,0.039111308628936636
0.02001321731468228,0.012732679810551817,0.0129199251018835,0.00709329221279878,0.033758388445370935
0.016093522279760603,0.009457657601786046,0.00845504253361859,0.007638479746142013,0.04514561072737344
0.015444310019727792,0.014343480582894697,0.009951062136917044,0.005493247882810748,0.028032694685909854
0.017461530066572084,0.010618792971734153,0.00920004365382518,0.008261486412746905,0.04811278231331495
0.017428146624484386,0.013325433467854642,0.008004203324650988,0.009423943299833398,0.037027436418588744
0.016299605598408512,0.010854769467034342,0.010133445022279697,0.006166160576128815,0.03471820412348481
0.017592601879620057,0.011955747685579915,0.008254681497678024,0.009337920381942033,0.04172645874361536
0.025715711535915453,0.014808176068602352,0.01631547322001442,0.009400238315901033,0.03951221183057918
0.016412855814777083,0.007614325556686868,0.009849926955597915,0.006562928859179168,0.03662373019483289
0.019705556641261168,0.009261068768592673,0.010933055392699675,0.008772501248561493,0.03301087461713714
